"LP.","Data","Typ instrumentu","Nazwa","ISIN","Kurs otwarcia","Kurs maksymalny","Kurs minimalny","Kurs zamkniecia","Zmiana","Wolumen obrotu","Liczba transakcji","Wartosc obrotu w tys. zl","Liczba otwartych pozycji","Wartosc otwartych pozycji w mln zl","Cena nominalna obligacji","Waluta"
932,"2011-08-04",10,"ASSECOBS","PLABS0000018","10,45","10,45","9,41","9,45","-8,78",12553,31,"128,53",0,0,0,
933,"2011-08-05",10,"ASSECOBS","PLABS0000018","9,05","9,26","9,05","9,26","-2,01",4585,20,"41,64",0,0,0,
934,"2011-08-08",10,"ASSECOBS","PLABS0000018","8,9",9,"8,69","8,69","-6,16",7538,30,"66,86",0,0,0,
935,"2011-08-09",10,"ASSECOBS","PLABS0000018","8,42","8,42","7,92","7,92","-8,86",23757,44,"194,41",0,0,0,
936,"2011-08-10",10,"ASSECOBS","PLABS0000018","8,31","9,29","7,86","7,95","0,38",10859,32,"88,5",0,0,0,
937,"2011-08-11",10,"ASSECOBS","PLABS0000018","8,1","8,7","8,1","8,7","9,43",795,11,"6,64",0,0,0,
938,"2011-08-12",10,"ASSECOBS","PLABS0000018","9,05","9,11","8,82","9,11","4,71",2067,12,"18,71",0,0,0,
939,"2011-08-16",10,"ASSECOBS","PLABS0000018","9,54","9,6","9,37","9,46","3,84",630,6,"5,99",0,0,0,
940,"2011-08-17",10,"ASSECOBS","PLABS0000018","9,6","9,6","9,6","9,6","1,48",754,3,"7,24",0,0,0,
941,"2011-08-18",10,"ASSECOBS","PLABS0000018","9,83","9,83","9,12","9,33","-2,81",4659,18,"43,96",0,0,0,
942,"2011-08-19",10,"ASSECOBS","PLABS0000018","9,5","9,5",9,"9,49","1,71",3426,18,"31,1",0,0,0,
943,"2011-08-22",10,"ASSECOBS","PLABS0000018","9,33","9,48","9,33","9,33","-1,69",10962,7,"102,35",0,0,0,
944,"2011-08-23",10,"ASSECOBS","PLABS0000018","9,34","9,4","9,34","9,34","0,11",773,5,"7,22",0,0,0,
945,"2011-08-24",10,"ASSECOBS","PLABS0000018","9,34","9,34","9,2","9,2","-1,5",7938,6,"73,56",0,0,0,
946,"2011-08-25",10,"ASSECOBS","PLABS0000018",9,"9,21",9,"9,21","0,11",2315,2,"21,01",0,0,0,
947,"2011-08-26",10,"ASSECOBS","PLABS0000018","9,23","9,23","9,23","9,23","0,22",3168,16,"29,24",0,0,0,
948,"2011-08-29",10,"ASSECOBS","PLABS0000018","9,49","9,68","9,49","9,68","4,88",1490,4,"14,33",0,0,0,
949,"2011-08-30",10,"ASSECOBS","PLABS0000018","9,72","9,89","9,72","9,89","2,17",448,3,"4,39",0,0,0,
950,"2011-08-31",10,"ASSECOBS","PLABS0000018","9,9","9,9","9,9","9,9","0,1",230,2,"2,28",0,0,0,
951,"2011-09-01",10,"ASSECOBS","PLABS0000018","9,8","9,8","9,61","9,61","-2,93",378,3,"3,66",0,0,0,
952,"2011-09-02",10,"ASSECOBS","PLABS0000018","9,84","9,84","9,5","9,5","-1,14",2008,8,"19,12",0,0,0,
953,"2011-09-05",10,"ASSECOBS","PLABS0000018","9,5","9,5","9,5","9,5",0,3345,9,"31,78",0,0,0,
954,"2011-09-06",10,"ASSECOBS","PLABS0000018",0,0,0,"9,5",0,0,0,0,0,0,0,
955,"2011-09-07",10,"ASSECOBS","PLABS0000018","9,28","9,4","9,25","9,4","-1,05",290,5,"2,7",0,0,0,
956,"2011-09-08",10,"ASSECOBS","PLABS0000018","9,5","9,51","9,31","9,31","-0,96",4756,7,"44,4",0,0,0,
957,"2011-09-09",10,"ASSECOBS","PLABS0000018","9,3","9,41",9,9,"-3,33",23293,19,"211,91",0,0,0,
958,"2011-09-12",10,"ASSECOBS","PLABS0000018","9,43","9,88","8,1",9,0,1634,19,"13,68",0,0,0,
959,"2011-09-13",10,"ASSECOBS","PLABS0000018","9,85","9,85","9,85","9,85","9,44",10,1,"0,1",0,0,0,
960,"2011-09-14",10,"ASSECOBS","PLABS0000018","9,36","9,4",9,9,"-8,63",8804,6,"79,53",0,0,0,
961,"2011-09-15",10,"ASSECOBS","PLABS0000018","9,1","9,22",9,"9,22","2,44",10721,9,"97,13",0,0,0,
962,"2011-09-16",10,"ASSECOBS","PLABS0000018",0,0,0,"9,22",0,0,0,0,0,0,0,
963,"2011-09-19",10,"ASSECOBS","PLABS0000018",0,0,0,"9,22",0,0,0,0,0,0,0,
964,"2011-09-20",10,"ASSECOBS","PLABS0000018","9,19","9,19","9,04","9,04","-1,95",1052,3,"9,51",0,0,0,
965,"2011-09-21",10,"ASSECOBS","PLABS0000018","9,05","9,1","9,02","9,05","0,11",30215,6,"273,44",0,0,0,
966,"2011-09-22",10,"ASSECOBS","PLABS0000018","9,1","9,25","9,09","9,1","0,55",34626,11,"315,05",0,0,0,
967,"2011-09-23",10,"ASSECOBS","PLABS0000018","9,1","9,14","9,1","9,1",0,7423,11,"67,55",0,0,0,
968,"2011-09-26",10,"ASSECOBS","PLABS0000018",0,0,0,"9,1",0,0,0,0,0,0,0,
969,"2011-09-27",10,"ASSECOBS","PLABS0000018","9,31","9,31","9,23","9,23","1,43",1283,3,"11,91",0,0,0,
970,"2011-09-28",10,"ASSECOBS","PLABS0000018","9,5","9,55","9,5","9,51","3,03",3805,7,"36,16",0,0,0,
971,"2011-09-29",10,"ASSECOBS","PLABS0000018","9,8","9,83","9,6","9,83","3,36",2583,9,"25,24",0,0,0,
972,"2011-09-30",10,"ASSECOBS","PLABS0000018","9,89","10,2","9,89","10,2","3,76",2452,11,"24,48",0,0,0,
973,"2011-10-03",10,"ASSECOBS","PLABS0000018",10,"10,04",10,10,"-1,96",2173,9,"21,73",0,0,0,
974,"2011-10-04",10,"ASSECOBS","PLABS0000018","10,5","10,5","9,8","9,8",-2,1813,9,"18,05",0,0,0,
975,"2011-10-05",10,"ASSECOBS","PLABS0000018","9,81","9,81","9,8","9,8",0,207,2,"2,03",0,0,0,
976,"2011-10-06",10,"ASSECOBS","PLABS0000018","9,8","10,23","9,8","10,2","4,08",5565,10,"56,48",0,0,0,
977,"2011-10-07",10,"ASSECOBS","PLABS0000018","10,25","10,35","10,2","10,3","0,98",9863,14,"101,73",0,0,0,
978,"2011-10-10",10,"ASSECOBS","PLABS0000018","10,4","10,5","10,14","10,5","1,94",4522,15,"47,23",0,0,0,
979,"2011-10-11",10,"ASSECOBS","PLABS0000018","10,24","10,5","10,12","10,12","-3,62",1141,5,"11,67",0,0,0,
980,"2011-10-12",10,"ASSECOBS","PLABS0000018","10,27","10,27","10,27","10,27","1,48",429,2,"4,41",0,0,0,
981,"2011-10-13",10,"ASSECOBS","PLABS0000018","10,44","10,5","10,24","10,5","2,24",1149,6,"11,9",0,0,0,
982,"2011-10-14",10,"ASSECOBS","PLABS0000018","10,46","10,49","10,21","10,21","-2,76",1999,6,"20,57",0,0,0,
983,"2011-10-17",10,"ASSECOBS","PLABS0000018","9,99","9,99","9,72","9,95","-2,55",480,4,"4,76",0,0,0,
984,"2011-10-18",10,"ASSECOBS","PLABS0000018","9,96","9,96","9,71","9,71","-2,41",888,6,"8,64",0,0,0,
985,"2011-10-19",10,"ASSECOBS","PLABS0000018","9,78","9,79","9,78","9,79","0,82",50,2,"0,49",0,0,0,
986,"2011-10-20",10,"ASSECOBS","PLABS0000018","9,83",10,"9,5","9,79",0,7402,9,"71,77",0,0,0,
987,"2011-10-21",10,"ASSECOBS","PLABS0000018","9,55","9,78","9,55","9,78","-0,1",521,2,"4,99",0,0,0,
988,"2011-10-24",10,"ASSECOBS","PLABS0000018","10,02","10,1","10,02","10,02","2,45",7618,10,"76,39",0,0,0,
989,"2011-10-25",10,"ASSECOBS","PLABS0000018","9,7","10,03","9,7","10,03","0,1",21554,6,"211,42",0,0,0,
990,"2011-10-26",10,"ASSECOBS","PLABS0000018","9,87",10,"9,87",10,"-0,3",2905,5,29,0,0,0,
991,"2011-10-27",10,"ASSECOBS","PLABS0000018","9,91",10,"9,91",10,0,2705,4,"27,03",0,0,0,
992,"2011-10-28",10,"ASSECOBS","PLABS0000018","9,99","9,99","9,95","9,95","-0,5",125207,6,"1245,86",0,0,0,
993,"2011-10-31",10,"ASSECOBS","PLABS0000018","9,98","9,98","9,95","9,95",0,1000,2,"9,96",0,0,0,
994,"2011-11-02",10,"ASSECOBS","PLABS0000018","9,7","9,91","9,7","9,91","-0,4",934,5,"9,14",0,0,0,
995,"2011-11-03",10,"ASSECOBS","PLABS0000018","9,9","9,95","9,9","9,95","0,4",1944,5,"19,28",0,0,0,
996,"2011-11-04",10,"ASSECOBS","PLABS0000018","9,95",10,"9,92",10,"0,5",1095,6,"10,94",0,0,0,
997,"2011-11-07",10,"ASSECOBS","PLABS0000018","10,08","10,32","10,08","10,25","2,5",1120,4,"11,31",0,0,0,
998,"2011-11-08",10,"ASSECOBS","PLABS0000018","10,25","10,75","10,24","10,64","3,8",1206,10,"12,45",0,0,0,
999,"2011-11-09",10,"ASSECOBS","PLABS0000018","10,64","10,64",10,"10,4","-2,26",3223,7,"32,5",0,0,0,
1000,"2011-11-10",10,"ASSECOBS","PLABS0000018","10,5","10,5",10,"10,4",0,1862,8,"18,81",0,0,0,
1001,"2011-11-14",10,"ASSECOBS","PLABS0000018","10,5","10,7","10,43","10,43","0,29",1298,8,"13,56",0,0,0,
1002,"2011-11-15",10,"ASSECOBS","PLABS0000018","10,27","10,27","10,27","10,27","-1,53",80,1,"0,82",0,0,0,
1003,"2011-11-16",10,"ASSECOBS","PLABS0000018","10,26","10,26","10,2","10,2","-0,68",1036,5,"10,57",0,0,0,
1004,"2011-11-17",10,"ASSECOBS","PLABS0000018","10,15","10,18","10,15","10,15","-0,49",17738,6,"180,04",0,0,0,
1005,"2011-11-18",10,"ASSECOBS","PLABS0000018","9,9","9,9","9,9","9,9","-2,46",545,3,"5,4",0,0,0,
1006,"2011-11-21",10,"ASSECOBS","PLABS0000018","9,85","9,88","9,85","9,85","-0,51",8589,10,"84,6",0,0,0,
1007,"2011-11-22",10,"ASSECOBS","PLABS0000018","9,85","9,87","9,85","9,85",0,835,5,"8,23",0,0,0,
1008,"2011-11-23",10,"ASSECOBS","PLABS0000018",10,10,"9,85","9,85",0,19164,7,"191,57",0,0,0,
1009,"2011-11-24",10,"ASSECOBS","PLABS0000018","9,89","9,89","9,85","9,85",0,11003,4,"108,38",0,0,0,
1010,"2011-11-25",10,"ASSECOBS","PLABS0000018",0,0,0,"9,85",0,0,0,0,0,0,0,
1011,"2011-11-28",10,"ASSECOBS","PLABS0000018","9,85",10,"9,85",10,"1,52",160,3,"1,59",0,0,0,
1012,"2011-11-29",10,"ASSECOBS","PLABS0000018","9,85","9,95","9,85","9,95","-0,5",200,3,"1,98",0,0,0,
1013,"2011-11-30",10,"ASSECOBS","PLABS0000018","9,8","10,02","9,8","10,02","0,7",180,3,"1,77",0,0,0,
1014,"2011-12-01",10,"ASSECOBS","PLABS0000018","10,05","10,05","9,7","9,9","-1,2",1396,7,"13,71",0,0,0,
1015,"2011-12-02",10,"ASSECOBS","PLABS0000018","9,89",10,"9,65",10,"1,01",1895,8,"18,58",0,0,0,
1016,"2011-12-05",10,"ASSECOBS","PLABS0000018","9,97","9,97","9,8","9,8",-2,13812,2,"135,36",0,0,0,
1017,"2011-12-06",10,"ASSECOBS","PLABS0000018","9,6","9,75","9,6","9,75","-0,51",97,3,"0,94",0,0,0,
1018,"2011-12-07",10,"ASSECOBS","PLABS0000018","9,69","9,69","9,63","9,63","-1,23",280,3,"2,7",0,0,0,
1019,"2011-12-08",10,"ASSECOBS","PLABS0000018","9,66","9,66","9,6","9,6","-0,31",1800,6,"17,28",0,0,0,
1020,"2011-12-09",10,"ASSECOBS","PLABS0000018","9,8","9,83","9,61","9,61","0,1",601,6,"5,84",0,0,0,
1021,"2011-12-12",10,"ASSECOBS","PLABS0000018",0,0,0,"9,61",0,0,0,0,0,0,0,
1022,"2011-12-13",10,"ASSECOBS","PLABS0000018","9,61","9,63","9,6","9,6","-0,1",243624,14,"2338,79",0,0,0,
1023,"2011-12-14",10,"ASSECOBS","PLABS0000018","9,61","9,61","9,5","9,5","-1,04",3406,3,"32,7",0,0,0,
1024,"2011-12-15",10,"ASSECOBS","PLABS0000018","9,41","9,41","9,26","9,26","-2,53",800,4,"7,5",0,0,0,
1025,"2011-12-16",10,"ASSECOBS","PLABS0000018","9,31","9,31",9,"9,19","-0,76",1311,5,"11,94",0,0,0,
1026,"2011-12-19",10,"ASSECOBS","PLABS0000018","9,19","9,19","8,87","8,87","-3,48",582,8,"5,29",0,0,0,
1027,"2011-12-20",10,"ASSECOBS","PLABS0000018","8,66","8,66","8,46","8,6","-3,04",140996,9,"1212,35",0,0,0,
1028,"2011-12-21",10,"ASSECOBS","PLABS0000018","8,6","8,6","8,45","8,45","-1,74",905,5,"7,75",0,0,0,
1029,"2011-12-22",10,"ASSECOBS","PLABS0000018","8,49","8,69","8,49","8,51","0,71",3493,13,"29,75",0,0,0,
1030,"2011-12-23",10,"ASSECOBS","PLABS0000018","8,48","9,2","8,48","9,2","8,11",4117,9,"35,27",0,0,0,
1031,"2011-12-27",10,"ASSECOBS","PLABS0000018","9,26","9,26","8,44","9,25","0,54",1459,12,"12,94",0,0,0,
1032,"2011-12-28",10,"ASSECOBS","PLABS0000018","9,19","9,2","9,19","9,2","-0,54",8515,6,"78,34",0,0,0,
1033,"2011-12-29",10,"ASSECOBS","PLABS0000018","9,2","9,27","9,2","9,27","0,76",1974,7,"18,19",0,0,0,
1034,"2011-12-30",10,"ASSECOBS","PLABS0000018","9,25","9,29","9,25","9,29","0,22",101,2,"0,93",0,0,0,
1035,"2012-01-02",10,"ASSECOBS","PLABS0000018","9,3","9,3","9,3","9,3","0,11",100,2,"0,93",0,0,0,
1036,"2012-01-03",10,"ASSECOBS","PLABS0000018","9,5",10,"9,5",10,"7,53",1087,5,"10,37",0,0,0,
1037,"2012-01-04",10,"ASSECOBS","PLABS0000018","9,75","9,76","9,55","9,55","-4,5",1009,4,"9,84",0,0,0,
1038,"2012-01-05",10,"ASSECOBS","PLABS0000018","9,32",10,"9,32","9,45","-1,05",3461,10,"32,78",0,0,0,
1039,"2012-01-09",10,"ASSECOBS","PLABS0000018","9,45","9,52","9,3","9,52","0,74",1171,5,"11,05",0,0,0,
1040,"2012-01-10",10,"ASSECOBS","PLABS0000018","9,3","9,95","8,8","9,59","0,74",2750,16,"25,21",0,0,0,
1041,"2012-01-11",10,"ASSECOBS","PLABS0000018","9,61","9,84","9,03","9,05","-5,63",4012,31,"37,09",0,0,0,
1042,"2012-01-12",10,"ASSECOBS","PLABS0000018","9,26","9,26","9,26","9,26","2,32",11,1,"0,1",0,0,0,
1043,"2012-01-13",10,"ASSECOBS","PLABS0000018","9,45","9,45","9,15","9,28","0,22",1795,9,"16,57",0,0,0,
1044,"2012-01-16",10,"ASSECOBS","PLABS0000018","9,42","9,42","9,18","9,35","0,75",858,4,"7,89",0,0,0,
1045,"2012-01-17",10,"ASSECOBS","PLABS0000018","9,29","9,29","9,2","9,2","-1,6",1731,11,"16,05",0,0,0,
1046,"2012-01-18",10,"ASSECOBS","PLABS0000018","9,2","9,2","9,07","9,07","-1,41",1399,6,"12,81",0,0,0,
1047,"2012-01-19",10,"ASSECOBS","PLABS0000018","9,18","9,18","9,18","9,18","1,21",213,3,"1,96",0,0,0,
1048,"2012-01-20",10,"ASSECOBS","PLABS0000018","9,18","9,18","9,08","9,08","-1,09",320,2,"2,92",0,0,0,
1049,"2012-01-23",10,"ASSECOBS","PLABS0000018","9,18","9,4","9,18","9,39","3,41",801,9,"7,36",0,0,0,
1050,"2012-01-24",10,"ASSECOBS","PLABS0000018","9,16","9,45","9,07","9,44","0,53",1008,13,"9,27",0,0,0,
1051,"2012-01-25",10,"ASSECOBS","PLABS0000018","9,45","9,7","9,3","9,52","0,85",468,12,"4,43",0,0,0,
1052,"2012-01-26",10,"ASSECOBS","PLABS0000018","9,51","9,89","9,51","9,89","3,89",7949,18,"77,96",0,0,0,
1053,"2012-01-27",10,"ASSECOBS","PLABS0000018","9,89","9,89","9,89","9,89",0,2,1,"0,02",0,0,0,
1054,"2012-01-30",10,"ASSECOBS","PLABS0000018","9,66",10,"9,66",10,"1,11",2427,12,"24,11",0,0,0,
1055,"2012-01-31",10,"ASSECOBS","PLABS0000018","10,03","10,21","10,03","10,21","2,1",250776,8,"2515,3",0,0,0,
1056,"2012-02-01",10,"ASSECOBS","PLABS0000018","10,25","10,35","10,03","10,19","-0,2",974,15,"9,92",0,0,0,
1057,"2012-02-02",10,"ASSECOBS","PLABS0000018","10,19","10,19","10,15","10,18","-0,1",241,3,"2,45",0,0,0,
1058,"2012-02-03",10,"ASSECOBS","PLABS0000018","10,2","10,2","10,2","10,2","0,2",100,1,"1,02",0,0,0,
1059,"2012-02-06",10,"ASSECOBS","PLABS0000018","10,44","10,5","9,8","10,5","2,94",6312,22,"64,78",0,0,0,
1060,"2012-02-07",10,"ASSECOBS","PLABS0000018","10,5","10,8","10,25","10,65","1,43",34261,13,"364,53",0,0,0,
1061,"2012-02-08",10,"ASSECOBS","PLABS0000018","10,4","10,4","10,4","10,4","-2,35",5,1,"0,05",0,0,0,
1062,"2012-02-09",10,"ASSECOBS","PLABS0000018","10,29","10,29","10,29","10,29","-1,06",121,2,"1,25",0,0,0,
1063,"2012-02-10",10,"ASSECOBS","PLABS0000018","10,29","10,71","10,29","10,7","3,98",2545,14,"26,47",0,0,0,
1064,"2012-02-13",10,"ASSECOBS","PLABS0000018","10,68","10,72","10,55","10,69","-0,09",2776,10,"29,68",0,0,0,
1065,"2012-02-14",10,"ASSECOBS","PLABS0000018","10,69","10,69","10,6","10,6","-0,84",1500,3,"15,95",0,0,0,
1066,"2012-02-15",10,"ASSECOBS","PLABS0000018","10,6","10,8","10,6","10,7","0,94",1067,9,"11,41",0,0,0,
1067,"2012-02-16",10,"ASSECOBS","PLABS0000018","10,75","10,76","10,74","10,75","0,47",4984,6,"53,58",0,0,0,
1068,"2012-02-17",10,"ASSECOBS","PLABS0000018","10,75","10,75","10,69","10,72","-0,28",814,6,"8,72",0,0,0,
1069,"2012-02-20",10,"ASSECOBS","PLABS0000018","10,65","10,65","10,5","10,65","-0,65",925,10,"9,82",0,0,0,
1070,"2012-02-21",10,"ASSECOBS","PLABS0000018","10,72","10,72","10,69","10,69","0,38",935,4,"10,02",0,0,0,
1071,"2012-02-22",10,"ASSECOBS","PLABS0000018","10,75","10,8","10,7","10,7","0,09",5032,7,"54,1",0,0,0,
1072,"2012-02-23",10,"ASSECOBS","PLABS0000018","10,72","10,72","10,72","10,72","0,19",1500,2,"16,08",0,0,0,
1073,"2012-02-24",10,"ASSECOBS","PLABS0000018","10,7","10,7","10,6","10,6","-1,12",230,4,"2,44",0,0,0,
1074,"2012-02-27",10,"ASSECOBS","PLABS0000018","10,5","10,61","10,5","10,6",0,5395,5,"57,16",0,0,0,
1075,"2012-02-28",10,"ASSECOBS","PLABS0000018","10,51","10,51","10,49","10,5","-0,94",3780,6,"39,69",0,0,0,
1076,"2012-02-29",10,"ASSECOBS","PLABS0000018","10,26","10,5","10,26","10,5",0,5538,8,"57,87",0,0,0,
1077,"2012-03-01",10,"ASSECOBS","PLABS0000018","10,8","10,8","10,35","10,4","-0,95",755,5,"7,95",0,0,0,
1078,"2012-03-02",10,"ASSECOBS","PLABS0000018","10,61","10,61",10,10,"-3,85",1195,8,"12,22",0,0,0,
1079,"2012-03-05",10,"ASSECOBS","PLABS0000018",10,"10,24","9,75","9,77","-2,3",217,6,"2,17",0,0,0,
1080,"2012-03-06",10,"ASSECOBS","PLABS0000018",10,"10,42",10,"10,41","6,55",122,3,"1,23",0,0,0,
1081,"2012-03-07",10,"ASSECOBS","PLABS0000018","10,4","10,66","10,25","10,42","0,1",1549,11,"16,21",0,0,0,
1082,"2012-03-08",10,"ASSECOBS","PLABS0000018","10,16","10,41","10,16","10,41","-0,1",137005,8,"1400,71",0,0,0,
1083,"2012-03-09",10,"ASSECOBS","PLABS0000018","10,42","10,42","10,21","10,22","-1,83",12034,8,"122,94",0,0,0,
1084,"2012-03-12",10,"ASSECOBS","PLABS0000018","10,3","10,3","10,25","10,25","0,29",1533,3,"15,73",0,0,0,
1085,"2012-03-13",10,"ASSECOBS","PLABS0000018","10,26","10,52","10,26","10,26","0,1",1960,11,"20,33",0,0,0,
1086,"2012-03-14",10,"ASSECOBS","PLABS0000018","10,54","10,75","10,31","10,68","4,09",4446,17,"46,98",0,0,0,
1087,"2012-03-15",10,"ASSECOBS","PLABS0000018","10,74","10,8","10,67","10,78","0,94",1396,13,"14,98",0,0,0,
1088,"2012-03-16",10,"ASSECOBS","PLABS0000018","10,79","10,79","10,76","10,76","-0,19",710,8,"7,65",0,0,0,
1089,"2012-03-19",10,"ASSECOBS","PLABS0000018","10,76","10,76","10,5","10,5","-2,42",6237,9,"65,54",0,0,0,
1090,"2012-03-20",10,"ASSECOBS","PLABS0000018","10,51","10,75","10,5","10,75","2,38",9000,11,"94,53",0,0,0,
1091,"2012-03-21",10,"ASSECOBS","PLABS0000018",0,0,0,"10,75",0,0,0,0,0,0,0,
1092,"2012-03-22",10,"ASSECOBS","PLABS0000018","10,71","10,71","10,38","10,38","-3,44",3040,9,"31,84",0,0,0,
1093,"2012-03-23",10,"ASSECOBS","PLABS0000018","10,33","10,75","10,33","10,72","3,28",1607,12,"16,97",0,0,0,
1094,"2012-03-26",10,"ASSECOBS","PLABS0000018","10,7","10,75","10,7","10,75","0,28",2961,8,"31,77",0,0,0,
1095,"2012-03-27",10,"ASSECOBS","PLABS0000018","10,7","10,7","10,7","10,7","-0,47",240,3,"2,57",0,0,0,
1096,"2012-03-28",10,"ASSECOBS","PLABS0000018","10,55","10,63","10,55","10,6","-0,93",1583,7,"16,74",0,0,0,
1097,"2012-03-29",10,"ASSECOBS","PLABS0000018","10,61","10,61","10,55","10,55","-0,47",2297,5,"24,25",0,0,0,
1098,"2012-03-30",10,"ASSECOBS","PLABS0000018","10,7","10,75","10,57","10,73","1,71",1072,8,"11,44",0,0,0,
1099,"2012-04-02",10,"ASSECOBS","PLABS0000018","10,61","10,71","10,55","10,55","-1,68",1061,12,"11,24",0,0,0,"PLN"
1100,"2012-04-03",10,"ASSECOBS","PLABS0000018","10,72","10,75","10,72","10,75","1,9",350,3,"3,76",0,0,0,"PLN"
1101,"2012-04-04",10,"ASSECOBS","PLABS0000018","10,55","10,6","10,55","10,6","-1,4",128,2,"1,35",0,0,0,"PLN"
1102,"2012-04-05",10,"ASSECOBS","PLABS0000018","10,61","10,62","10,55","10,62","0,19",1502,9,"15,89",0,0,0,
1103,"2012-04-10",10,"ASSECOBS","PLABS0000018","10,65","10,65","10,55","10,55","-0,66",1876,9,"19,82",0,0,0,
1104,"2012-04-11",10,"ASSECOBS","PLABS0000018","10,58","10,7","10,45","10,7","1,42",5522,14,"58,32",0,0,0,
1105,"2012-04-12",10,"ASSECOBS","PLABS0000018","10,7","10,7","10,7","10,7",0,209,3,"2,24",0,0,0,
1106,"2012-04-13",10,"ASSECOBS","PLABS0000018","10,67","10,68","10,55","10,55","-1,4",2224,9,"23,51",0,0,0,
1107,"2012-04-16",10,"ASSECOBS","PLABS0000018","10,7","10,7","10,58","10,66","1,04",1019,11,"10,87",0,0,0,
1108,"2012-04-17",10,"ASSECOBS","PLABS0000018","10,66","10,78","10,62","10,67","0,09",29522,7,"313,58",0,0,0,
1109,"2012-04-18",10,"ASSECOBS","PLABS0000018","10,65","10,75","10,65","10,75","0,75",1020,2,"10,86",0,0,0,
1110,"2012-04-19",10,"ASSECOBS","PLABS0000018","10,8","10,8","10,71","10,71","-0,37",4545,30,"48,78",0,0,0,
1111,"2012-04-20",10,"ASSECOBS","PLABS0000018","10,6","10,6","10,5","10,5","-1,96",2946,19,"31,15",0,0,0,
1112,"2012-04-23",10,"ASSECOBS","PLABS0000018","10,56","10,56","10,3","10,55","0,48",40982,9,"431,54",0,0,0,
1113,"2012-04-24",10,"ASSECOBS","PLABS0000018","10,4","10,4","10,4","10,4","-1,42",167,1,"1,74",0,0,0,
1114,"2012-04-25",10,"ASSECOBS","PLABS0000018","10,32","10,32","10,28","10,3","-0,96",10323,15,"106,33",0,0,0,
1115,"2012-04-26",10,"ASSECOBS","PLABS0000018","10,5","10,54","10,5","10,54","2,33",1953,8,"20,52",0,0,0,
1116,"2012-04-27",10,"ASSECOBS","PLABS0000018","10,55","10,55","10,52","10,55","0,09",3416,5,"36,04",0,0,0,
1117,"2012-04-30",10,"ASSECOBS","PLABS0000018","10,51","10,55","10,51","10,55",0,3733,12,"39,37",0,0,0,
1118,"2012-05-02",10,"ASSECOBS","PLABS0000018","10,55","10,55","10,55","10,55",0,1170,6,"12,34",0,0,0,
1119,"2012-05-04",10,"ASSECOBS","PLABS0000018","10,54","10,55","10,54","10,55",0,2023,15,"21,34",0,0,0,
1120,"2012-05-07",10,"ASSECOBS","PLABS0000018","10,56","10,75","10,56","10,65","0,95",4614,18,"49,07",0,0,0,
1121,"2012-05-08",10,"ASSECOBS","PLABS0000018","10,75","10,75","10,59","10,6","-0,47",7630,31,"81,37",0,0,0,
1122,"2012-05-09",10,"ASSECOBS","PLABS0000018","10,62","10,75","10,56","10,56","-0,38",7799,44,"82,77",0,0,0,
1123,"2012-05-10",10,"ASSECOBS","PLABS0000018","9,94","9,94","9,4","9,4","-2,08",17542,54,"170,3",0,0,0,
1124,"2012-05-11",10,"ASSECOBS","PLABS0000018","9,5","9,79","9,4","9,75","3,72",4295,25,"41,59",0,0,0,
1125,"2012-05-14",10,"ASSECOBS","PLABS0000018","9,91","9,91","9,66","9,8","0,51",21984,15,"214,45",0,0,0,"PLN"
1126,"2012-05-15",10,"ASSECOBS","PLABS0000018","8,84","9,7","8,84","9,61","-1,94",7356,29,"68,4",0,0,0,"PLN"
1127,"2012-05-16",10,"ASSECOBS","PLABS0000018","9,6","9,6","9,42","9,43","-1,87",11263,12,"107,91",0,0,0,"PLN"
1128,"2012-05-17",10,"ASSECOBS","PLABS0000018","9,4","9,41","9,4","9,4","-0,32",4245,11,"39,9",0,0,0,"PLN"
1129,"2012-05-18",10,"ASSECOBS","PLABS0000018","9,4","9,5","9,09","9,1","-3,19",30194,16,"280,93",0,0,0,"PLN"
1130,"2012-05-21",10,"ASSECOBS","PLABS0000018","9,31","9,31","9,1","9,14","0,44",453,5,"4,14",0,0,0,"PLN"
1131,"2012-05-22",10,"ASSECOBS","PLABS0000018","9,5","9,5","9,5","9,5","3,94",388,2,"3,69",0,0,0,"PLN"
1132,"2012-05-23",10,"ASSECOBS","PLABS0000018","9,28","9,28","8,9","9,25","-2,63",2836,13,"25,95",0,0,0,"PLN"
1133,"2012-05-24",10,"ASSECOBS","PLABS0000018","9,2","9,2","9,2","9,2","-0,54",850,2,"7,82",0,0,0,"PLN"
1134,"2012-05-25",10,"ASSECOBS","PLABS0000018","9,14","9,2","9,1","9,16","-0,43",3942,11,"35,97",0,0,0,"PLN"
1135,"2012-05-28",10,"ASSECOBS","PLABS0000018","9,34","9,34","9,11","9,3","1,53",560,3,"5,18",0,0,0,"PLN"
1136,"2012-05-29",10,"ASSECOBS","PLABS0000018","9,46","9,46","9,39","9,39","0,97",20,2,"0,19",0,0,0,"PLN"
1137,"2012-05-30",10,"ASSECOBS","PLABS0000018","9,39","9,39","9,39","9,39",0,5,1,"0,05",0,0,0,"PLN"
1138,"2012-05-31",10,"ASSECOBS","PLABS0000018","9,39","9,39","9,39","9,39",0,50,1,"0,47",0,0,0,"PLN"
1139,"2012-06-01",10,"ASSECOBS","PLABS0000018","9,4","9,4","9,17","9,17","-2,34",825,5,"7,6",0,0,0,"PLN"
